File,Total,Status Report,Query,Plan Announcement,Coordination,Help Request,Help Offer,Acknowledgment,Instruction,Other
3530,7,1,2,0,1,2,0,0,1,0
3531,7,2,2,0,1,1,0,0,1,0
3532,16,9,0,2,2,0,0,2,1,0
3533,13,8,0,1,1,0,0,2,1,0
3534,13,8,0,1,1,0,0,2,1,0
3535,9,3,3,0,2,0,0,0,1,0
3536,10,3,3,0,3,0,0,0,1,0
3537,10,3,2,0,4,0,0,0,1,0
3538,4,1,0,1,0,0,0,0,1,1
3539,2,1,0,0,0,0,0,0,1,0
3540,4,1,0,1,0,0,0,0,1,1
3541,4,0,0,0,2,1,0,0,1,0
3542,4,1,0,0,1,1,0,0,1,0
3543,4,0,1,0,1,1,0,0,1,0
3544,12,6,1,0,3,0,0,1,1,0
3545,12,6,0,0,3,1,0,1,1,0
3546,12,6,1,1,3,0,0,0,1,0
3547,10,5,1,0,2,1,0,0,1,0
3548,10,5,1,0,2,1,0,0,1,0
3549,13,7,1,1,2,1,0,0,1,0
3550,13,6,1,2,3,0,0,0,1,0
3551,12,5,1,1,4,0,0,0,1,0
3552,13,5,1,2,4,0,0,0,1,0
3553,18,9,1,1,6,0,0,0,1,0
3554,18,9,1,1,6,0,0,0,1,0
3555,22,9,1,2,9,0,0,0,1,0
3556,18,5,1,7,1,2,0,1,1,0
3557,18,4,1,8,1,2,0,1,1,0
3558,17,5,1,7,0,2,0,1,1,0
3563,2,1,0,0,1,0,0,0,0,0
3564,2,1,0,0,1,0,0,0,0,0
3569,3,2,0,1,0,0,0,0,0,0
3570,3,2,0,1,0,0,0,0,0,0
3571,5,0,0,1,4,0,0,0,0,0
3572,5,0,0,1,4,0,0,0,0,0
3593,4,3,0,0,1,0,0,0,0,0
3594,5,3,0,0,2,0,0,0,0,0
3595,5,3,0,0,2,0,0,0,0,0
3596,3,2,0,0,1,0,0,0,0,0
3605,3,0,2,0,1,0,0,0,0,0
3606,3,0,2,0,1,0,0,0,0,0
3607,3,0,2,0,1,0,0,0,0,0
3608,1,0,0,0,1,0,0,0,0,0
3627,1,1,0,0,0,0,0,0,0,0
